Year,Herbivores,Carnivores,HerbivoreAvgFitness,CarnivoreAvgFitness,HerbivoreAvgAge,CarnivoreAvgAge,HerbivoreAvgWeight,CarnivoreAvgWeight
515,35,146,0.764510013024565,0.789702241174786,10.8,15.5958904109589,23.3238843260358,20.2613404846961
516,34,146,0.777896134535154,0.794861845454393,10.9705882352941,15.4315068493151,23.9463214893701,19.4252680071374
517,32,154,0.786866170872558,0.780872589754777,11.25,15.3181818181818,24.3918854548713,18.7544969765015
518,34,147,0.778275163873121,0.790498159975204,10.7647058823529,15.7482993197279,24.1411913230211,18.1905442390996
519,35,149,0.785143845248517,0.776572053730364,11.2285714285714,15.3355704697987,24.600530907891,17.0841684037237
520,32,141,0.815081022391228,0.79060738571968,11.78125,16.4964539007092,26.3361776519444,18.7775294742471
521,37,143,0.765037356702194,0.791486381748721,10.8918918918919,16.4405594405594,23.9743969621852,19.1323805687387
522,41,150,0.73298559554682,0.785066796076437,10.4878048780488,14.9266666666667,21.7989132588343,17.2497347408212
523,38,147,0.777869330078335,0.787972494903027,11.8947368421053,15.6938775510204,23.9008560822503,18.2199283643423
524,37,152,0.779175696119594,0.781198164972746,12.8108108108108,14.9934210526316,24.3499716802957,17.3196326655601
525,33,148,0.780871219654033,0.799446655374784,14.1212121212121,15.6486486486486,25.0758373537443,18.4341377260663
526,36,154,0.765350362357373,0.786533060043044,13.9166666666667,15.4415584415584,24.6576404015906,18.1055158184854
527,35,158,0.757176906414633,0.782090976073152,13.8571428571429,15.2784810126582,24.5217844689467,17.7138606581487
528,36,152,0.742661443479008,0.794124331000175,11.9722222222222,15.9078947368421,23.1396396983986,18.4967444833687
529,33,156,0.747509897342405,0.78586356358679,11.6666666666667,16.1217948717949,22.8823773229005,18.5044113234963
530,32,153,0.76639286191596,0.791836274443927,11.84375,16.2483660130719,23.8056140052996,18.458709811199
531,30,150,0.782460596783831,0.789584799338534,12.1333333333333,16.8133333333333,25.0045945659726,18.6102087418092
532,33,150,0.765710828335615,0.783153671437878,11.5757575757576,17.08,24.5403317638246,18.7031469705479
533,35,143,0.769265954304338,0.79618376892454,10.9428571428571,17.9230769230769,24.3991699386547,18.9225458799292
534,37,135,0.748362694622946,0.80703061692512,10.9459459459459,18.5925925925926,23.1369707797182,19.5961892444838
535,34,140,0.76994971801137,0.797180385241363,12.3823529411765,16.6,24.4315885171196,17.4563440906815
536,35,138,0.746141988033271,0.800153010037866,12.3714285714286,16.4492753623188,23.3409997475051,17.7393248058474
537,33,136,0.779811110336078,0.809097728898095,12.2121212121212,16.3529411764706,24.6317247784369,17.5526577395973
538,35,138,0.788309413081438,0.797668466526444,12.5142857142857,16.3333333333333,25.4441728123517,17.8716970029111
539,39,138,0.75999102075452,0.799073044002973,11.4102564102564,16.9927536231884,23.8169978347573,18.8727917585265
540,40,146,0.761302258361642,0.786646580213928,11.075,15.5479452054795,23.6421971579653,17.5614854594534
541,34,151,0.793985603354732,0.776647575499313,12.7352941176471,15.5695364238411,25.6983013564179,18.1218881245811
542,32,147,0.781994119608792,0.776440395659413,12.0625,16.2380952380952,25.1720436508476,18.1720124691417
543,36,147,0.729677344709949,0.78760268450762,9.61111111111111,15.952380952381,22.1686513801168,17.9501112933443
544,34,146,0.767112216730523,0.790100806139061,10.1764705882353,15.9520547945205,23.7683472901418,17.9703154849162
545,35,151,0.795376481994537,0.78556441450633,10.8857142857143,15.7549668874172,25.3005835752759,17.9260709274256
546,36,145,0.774884870085807,0.777886509345626,10.4444444444444,15.0551724137931,24.659996014291,16.700483610968
547,35,132,0.788586158118886,0.804113563674336,11.2,16.4393939393939,25.5156432947227,18.4669117197375
548,38,136,0.761248823807352,0.804753550298275,8.71052631578947,15.6617647058824,23.1373875194816,17.884146263456
549,36,146,0.782342937490496,0.790403515252213,9.02777777777778,15.1712328767123,24.072991074606,17.8749677074868
550,35,149,0.822629109273244,0.780009264861505,10.2285714285714,15.006711409396,26.3199245551746,17.5422295917372
551,36,147,0.787675617490509,0.783088459048175,9.69444444444444,15.4081632653061,25.0527457721111,18.0171809928565
552,33,147,0.784192089522649,0.779229291080587,10.3030303030303,15.6258503401361,24.680388185852,18.2099917424377
553,36,149,0.765598334418329,0.77936662109718,9.91666666666667,15.6107382550336,23.6463150334311,17.753490081775
